Time,j10,j11,j12,j13,j14,j15,vel_j1,vel_j2,vel_j3,vel_j4,vel_j5,vel_j6,vel_pct_j1,vel_pct_j2,vel_pct_j3,vel_pct_j4,vel_pct_j5,vel_pct_j6,TCP_X,TCP_Y,TCP_Z
5.267370368,-108.1712928,50.04835322,-28.61752943,22.08559081,36.99251314,59.6711314,-3.786835174,25.47009856,-7.979925335,-117.8207328,41.61064839,-8.512903033,58,58,58,58,58,58,-157.585135,-538.1444787,153.7266381
5.277653844,-108.2112116,50.31684527,-28.7016495,20.84358816,37.43115017,59.58139297,-3.975183734,26.73692327,-8.376828653,-123.6808678,43.68026731,-8.936315448,61,61,61,61,61,61,-158.4816966,-537.0682722,151.6091854
5.28793732,-108.2530502,50.59825022,-28.78981526,19.54185241,37.89088308,59.48733864,-4.159941507,27.97959649,-8.766165173,-129.4292817,45.71042979,-9.35165568,64,64,64,64,64,64,-159.4410416,-535.9046736,149.3926762
5.298220796,-108.2967689,50.89230027,-28.88194279,18.18162241,38.37127435,59.38905792,-4.34055812,29.19441645,-9.146775107,-135.0488508,47.69508823,-9.75768648,67,67,67,67,67,67,-160.4641106,-534.6488997,147.0797868
5.308504271,-108.3423223,51.19869037,-28.97793654,16.76430926,38.87182564,59.28665277,-4.516507243,30.37784306,-9.517549329,-140.5231991,49.62845917,-10.15322464,69,69,69,69,69,69,-161.5514813,-533.2960398,144.6735748
5.318787747,-108.3896597,51.51707989,-29.07768977,15.29148861,39.39198046,59.18023704,-4.687286584,31.52649792,-9.877429368,-145.8366986,51.50502332,-10.537141,72,72,72,72,72,72,-162.7033225,-531.8410905,142.1774797
5.329071223,-108.4387255,51.84709432,-29.18108515,13.76489297,39.93112695,59.0699359,-4.852417891,32.63716434,-10.22540741,-150.9744695,53.31952552,-10.90836043,75,75,75,75,75,75,-163.9193501,-530.2789981,139.5953251
5.339354698,-108.4894591,52.18832687,-29.28799522,12.18640403,40.48860055,58.95588532,-5.011446951,33.7067873,-10.56052631,-155.9223798,55.06697478,-11.26586186,77,77,77,77,77,77,-165.1987855,-528.6047087,136.9313204
5.349638174,-108.5417957,52.54034018,-29.39828298,10.55804496,41.06368675,58.83823147,-5.163943594,34.73247348,-10.88187957,-160.6670452,56.74264426,-11.60867824,79,79,79,79,79,79,-166.5403191,-526.8132256,134.1900624
5.35992165,-108.5956657,52.90266796,-29.51180231,8.881972713,41.65562376,58.7171302,-5.309501685,35.71149125,-11.18861135,-165.1958299,58.3420713,-11.93589658,82,82,82,82,82,82,-167.9420786,-524.8996736,131.3765364
5.370205126,-108.6509959,53.27481668,-29.6283986,7.160470349,42.26360529,58.59274647,-5.447739132,36.64127067,-11.47991648,-169.4968455,59.86105735,-12.24665792,84,84,84,84,84,84,-169.4016042,-522.8593703,128.496115
5.380488601,-108.7077091,53.6562672,-29.7479092,5.395939326,42.88678322,58.46525378,-5.578297883,37.51940349,-11.75504044,-173.558952,61.29566805,-12.54015735,86,86,86,86,86,86,-170.9158323,-520.6879029,125.5545548
5.390772077,-108.7657245,54.04647643,-29.87016395,3.590891816,43.52427032,58.33483366,-5.700843924,38.34364315,-12.01327936,-177.3717571,62.64223319,-12.81564401,88,88,88,88,88,88,-172.4810866,-518.3812095,122.5579894
5.401055553,-108.8249581,54.44487904,-29.99498573,1.747943015,44.17514299,58.20167505,-5.815067281,39.11190479,-12.25398006,-180.9256164,63.8973467,-13.07242106,90,90,90,90,90,90,-174.0930805,-515.9356638,119.5129195
5.411339028,-108.8853227,54.85088908,-30.12219096,-0.130196548,44.83844395,58.06597381,-5.920682022,39.82226522,-12.47653999,-184.2116338,65.05786667,-13.30984572,91,91,91,91,91,91,-175.746929,-513.3481619,116.426197
5.421622504,-108.9467285,55.26390164,-30.25159012,-2.040728708,45.51318497,57.9279321,-6.017426253,40.47296296,-12.68040725,-187.2216608,66.12091536,-13.52732924,93,93,93,93,93,93,-177.4371719,-510.6162097,113.3050047
5.43190598,-109.0090828,55.68329454,-30.38298828,-3.98077535,46.1983496,57.78775789,-6.105062119,41.06239821,-12.86508064,-189.9482971,67.08387917,-13.72433693,94,94,94,94,94,94,-179.1578075,-507.7380076,110.1568298
5.442189455,-109.072291,56.10842998,-30.51618561,-5.947386105,46.89289585,57.64566433,-6.183375807,41.58913287,-13.03010957,-192.3848901,67.94440865,-13.90038812,95,95,95,95,95,95,-180.9023384,-504.7125328,106.9894313
5.452472931,-109.136256,56.53865621,-30.65097791,-7.937546038,47.59575895,57.50186928,-6.252177543,42.05189053,-13.17509415,-194.5255354,68.70041854,-14.05505619,96,96,96,96,96,96,-182.6638271,-501.539616,103.8108009
5.462756407,-109.2008792,56.97330917,-30.78715713,-9.94818334,48.30585402,57.35659467,-6.31130159,42.44955646,-13.29968513,-196.3650764,69.35008768,-14.18796857,97,97,97,97,97,97,-184.4349622,-498.2200095,100.6291175
5.473039883,-109.2660603,57.41171418,-30.92451189,-11.97617702,49.02207884,57.21006602,-6.360606256,42.78117763,-13.40358391,-197.8991045,69.89185911,-14.29880673,98,98,98,98,98,98,-186.2081338,-494.7554475,97.45269569
5.483323358,-109.3316975,57.85318758,-31.06282799,-14.01836461,49.74331649,57.06251181,-6.399973885,43.04596269,-13.48654256,-199.1239593,70.32444001,-14.38730618,99,99,99,99,99,99,-187.9755164,-491.148694,94.28992835
5.493606834,-109.3976882,58.2970384,-31.20188896,-16.07154982,50.46843818,56.91416299,-6.429310862,43.24328199,-13.54836381,-200.0367278,70.64680171,-14.45325646,99,99,99,99,99,99,-189.7291594,-487.4035787,91.14922421
5.50389031,-109.4639288,58.74257006,-31.34147653,-18.13251027,51.19630583,56.76525239,-6.448547611,43.37266758,-13.58890104,-200.6352455,70.8581797,-14.49650116,99,99,99,99,99,99,-191.4610815,-483.5250181,88.03894125
5.514173785,-109.5303152,59.18908195,-31.48137122,-20.19800517,51.92577492,56.61601416,-6.457638597,43.43381319,-13.60805831,-200.9180956,70.95807363,-14.51693794,100,100,100,100,100,100,-193.1633685,-479.5190216,84.96731695
5.524457261,-109.5967428,59.63587118,-31.62135281,-22.26478298,52.65569709,56.46668323,-6.456562325,43.42657422,-13.6057903,-200.8846093,70.94624729,-14.51451845,99,99,99,99,99,99,-194.8282733,-475.3926823,81.94239666
